"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"EGR1-mRNA",-2.24,0.34,-2.91,-1.57,0.211,0.133,0.336,8.18e-09,2.21e-05,"lm.nb","NM_001964.2:2034"
"CXCL14-mRNA",-4.39,0.728,-5.81,-2.96,0.0478,0.0178,0.128,7.93e-08,0.000107,"lm.nb","NM_004887.4:990"
"ATF3-mRNA",-2.07,0.378,-2.81,-1.33,0.239,0.143,0.399,7.1e-07,0.000638,"lm.nb","NM_001674.3:1487"
"SGK1-mRNA",-1.82,0.36,-2.52,-1.11,0.284,0.174,0.463,3.77e-06,0.00254,"lm.nb","NM_005627.3:1621"
"DUSP1-mRNA",-2.76,0.642,-4.02,-1.51,0.147,0.0615,0.352,5.55e-05,0.0299,"lm.nb","NM_004417.3:1428"
"MAP3K8-mRNA",-2.02,0.484,-2.97,-1.07,0.246,0.128,0.476,8.87e-05,0.0364,"lm.nb","NM_001244134.1:493"
"KIR3DL1-mRNA",2.86,0.688,1.51,4.21,7.25,2.85,18.4,9.46e-05,0.0364,"lm.nb","NM_001322168.1:466"
"ADM-mRNA",-2.09,0.523,-3.11,-1.06,0.235,0.116,0.478,0.000164,0.0517,"lm.nb","NM_001124.2:1413"
"WDR76-mRNA",1.38,0.351,0.696,2.07,2.61,1.62,4.2,0.000195,0.0517,"lm.nb","NM_024908.3:1875"
"ITGB2-mRNA",-3.17,0.805,-4.75,-1.59,0.111,0.0372,0.331,0.000196,0.0517,"lm.nb","NM_000211.3:1412"
"CDH1-mRNA",-3.08,0.786,-4.62,-1.54,0.118,0.0406,0.344,0.000211,0.0517,"lm.nb","NM_004360.3:379"
"CDKN1C-mRNA",-2.52,0.649,-3.79,-1.25,0.174,0.0721,0.421,0.000241,0.054,"lm.nb","NM_000076.2:1605"
"C1QB-mRNA",-2.78,0.733,-4.22,-1.34,0.146,0.0538,0.394,0.000324,0.0672,"lm.nb","NM_000491.3:816"
"VEGFA-mRNA",-1.59,0.432,-2.44,-0.741,0.333,0.185,0.598,0.000477,0.0919,"lm.nb","NM_001171623.1:2212"
"CXCR4-mRNA",-2.6,0.72,-4.01,-1.19,0.165,0.062,0.438,0.000578,0.104,"lm.nb","NM_001008540.1:1060"
"EDN1-mRNA",-2.85,0.798,-4.42,-1.29,0.138,0.0469,0.409,0.000652,0.11,"lm.nb","NM_001955.2:770"
"HES1-mRNA",-1.72,0.492,-2.68,-0.754,0.304,0.156,0.593,0.000853,0.127,"lm.nb","NM_005524.2:860"
"FLT1-mRNA",-3.06,0.877,-4.78,-1.34,0.12,0.0364,0.394,0.000854,0.127,"lm.nb","NM_002019.4:530"
"CSF1R-mRNA",-2.51,0.721,-3.92,-1.09,0.176,0.066,0.468,0.000892,0.127,"lm.nb","NM_005211.3:958"
"FCGR2A-mRNA",-2.37,0.701,-3.74,-0.997,0.193,0.0746,0.501,0.0012,0.162,"lm.nb","NM_021642.3:60"
